artist,name,quote_ap,quote_error_ap,quote_model_ap,quote_billboard,quote_error_billboard,quote_model_billboard,quote_buzzfeed,quote_error_buzzfeed,quote_model_buzzfeed,quote_error_nyt_caramanica,quote_model_nyt_caramanica,quote_nyt_caramanica,quote_complex,quote_error_complex,quote_model_complex,quote_consequence,quote_error_consequence,quote_model_consequence,quote_crack,quote_error_crack,quote_model_crack,quote_dazed,quote_error_dazed,quote_model_dazed,quote_elle,quote_error_elle,quote_model_elle,quote_ew,quote_error_ew,quote_model_ew,quote_fader,quote_error_fader,quote_model_fader,quote_guardian,quote_error_guardian,quote_model_guardian,quote_indep,quote_error_indep,quote_model_indep,quote_latimes,quote_error_latimes,quote_model_latimes,quote_nme,quote_error_nme,quote_model_nme,quote_npr125,quote_error_npr125,quote_model_npr125,quote_npr25,quote_error_npr25,quote_model_npr25,quote_paste,quote_error_paste,quote_model_paste,quote_pitchfork,quote_error_pitchfork,quote_model_pitchfork,quote_quietus,quote_error_quietus,quote_model_quietus,quote_rs,quote_error_rs,quote_model_rs,quote_slant,quote_error_slant,quote_model_slant,quote_stereogum,quote_error_stereogum,quote_model_stereogum,quote_error_rough_trade,quote_model_rough_trade,quote_rough_trade,quote_usatoday,quote_error_usatoday,quote_model_usatoday,quote_variety,quote_error_variety,quote_model_variety,quote_vulture,quote_error_vulture,quote_model_vulture,quote_error_nyt_zoladz,quote_model_nyt_zoladz,quote_nyt_zoladz
Charley Crockett,Lonesome Drifter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,navigating the highway with the rhythm section's propulsive groove as his guide,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charli xcx & John Cale,House featuring John Cale,,,,"a spooky, gothic ballad ... so chilling you can feel the icy gales stinging your neck with each string stab and feedback echo",,claude-haiku-4-5-20251001,,,,,,,,,,"The poem and the gothic soundscape build to a jump-scare of a climax, as more and more terror seeps into the refrain",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the track is swallowed by infernal goth noise lunges and a distorted Charli sing/screaming ""I think I'm gonna die in this house.""",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Puth,Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not usable: too_vague,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the breadth of his musical expertise and ability to put that knowledge into action continues to go unmatched in contemporary pop,,claude-haiku-4-5-20251001,,,,,,
Charlotte Sands,Afterlife,,,,,,,a pop-rock ballad with a haunting melody,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chat Pile & Hayden Pedigo,Radioactive Dreams,,,,,,,,,,,,,,,,,Not usable: no_descriptive_content,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the wave of distortion comes flooding in, its beauty only intensifies",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,
Che,DIOR LEOPARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"His flow is possessed, spiraling through a manic phase over fuzzed out 808s",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloe Qisha,21st Century Cool Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,painfully relatable lyrics of 2025,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuckyy,My World,,,,,,,,,,,,,his bars remain the perfect blend of bleak and brilliant,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuquimamani-Condori,Breathe Kullawada Caporal E DJ edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a noisy pop racket that sounds like four or five radio stations blasting at once, which is exactly why I love it so much",,claude-haiku-4-5-20251001,adding entire new layers to them ... Faith's sweeping vocals go from the kind that would fit the climax of a Lifetime Christmas romance to being about a connection so deep it's like sparks ripple when their hands clasp,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circuit des Yeux,Canopy of Eden,,,,,,,,,,,,,,,,"brooding, darkwave instrumental",,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleyra,There's Nothing Happening Between Us,,,,,,,,,,,,,,,,,,,"breathes, bends and breaks down between meditative four-to-the-floor techno, hazy ambient, industrial and IDM",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clipse, John Legend, Voices of Fire, Pusha T, & Malice",The Birds Don't Sing,,,,,,,,,,,,,,,,this recollection of the back-to-back deaths of the Thornton brothers' parents goes as hard as any of their icy cocaine boasts,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a mournful meditation on what it was like to lose both of their parents ... reflect on that sorrow with a vulnerability we've yet to see from the brothers Thornton,,claude-haiku-4-5-20251001,,,,,,
"Clipse, Kendrick Lamar, Pharrell Williams, Pusha T, & Malice",Chains & Whips,,,,"A double entendre on materialism and the illusion of true freedom, Pharrell's menacing melodies amplify the Thornton brothers' sharp lyrical wizardry",,claude-haiku-4-5-20251001,,,,,,,a cypher of self-assured flexing ... the peak of this growth,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an out-of-his-mind Kendrick elevates this to the status of cultural event,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,
"Clipse, Pusha T, & Malice",So Be It,,,,,,,,,,,,,,,,,,,,,,,,,brothers Pusha T and Malice prove they only get better with time,,claude-haiku-4-5-20251001,,,,,,,,,,,,,"""Calabasas took your b— and your pride in front of me"" is a hall-of-fame L.A. insult",,claude-haiku-4-5-20251001,,,,2025 was the year of Clipse,,claude-haiku-4-5-20251001,,,,"Coke rap hasn't sounded this good since Pusha's last LP, thanks to a combo of paranormal organs and a vocal sample from Talal Maddah's ""Maza Akoulo""",,claude-haiku-4-5-20251001,oscillates between gothic organs and an ethereal 1970s Arabic vocal sample ... a standout from two apex predators returning to the ecosystem,,claude-haiku-4-5-20251001,,,,both the beats and rhymes are a 10,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
"Clipse, Stove God Cooks, Pusha T, & Malice",F.I.C.O.,,,,,,,,,,,,,,,,"an undeniable banger, thanks to Pharrell's meticulous production that manages to fold brain-scattering bass and an affective, quavering vocal sample into a soundscape fit for Clipse",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,an extremely catchy cook ... paired with the hard-hitting ice cold verses from Pusha T and Malice,,,,,,,,,,,,
"Clipse, Tyler, The Creator, Pusha T, & Malice",P.O.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malice ... crashes in on a beat switch that detonates beneath him to uncork some hair-raising bars,,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,
Cloakroom,The Pilot,,,,,,,,,,,,,,,,"one of the loudest, loveliest songs you'll hear all year",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coco Jones,Taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"samples and interpolates rather brilliantly ... [as she] gives herself over to a lover, pushing past the more classic R&B of her previous work",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Conan Gray,This Song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""This Song"" excels as a sweet, dreamy profession of yearning",,claude-haiku-4-5-20251001,,,,,,,,,
Corbin,Come Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a gut-wrenching glimpse at the SoundCloud oddball in adulthood,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,
Craig Finn,Bethany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a song this good is enough to turn you into a believer,,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Finn,Luke & Leanna,,,,,,,,,,,,,,,,whose trademark wit gets amplified by Granduciel's production in this dramatic look at the beautiful hardships of partnership,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit,Anywhere,,,,,,,,,,,,,,,,"a delicious, irresistible, off-kilter charm",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creeper,Headstones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,explodes in a gloriously singable chorus,,,,,,,,,,,,
Cuco,Para Ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dripping with a Latin soul sound of yesteryear ... made me want to be outside,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARKSIDE,S.N.C,,,,"a right match for the loose and groovy swing of the song's chorus and climax, which function like intermittent bursts of sunshine among an otherwise moody sky",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBBY FRIDAY,1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""1/17"" glows with the kind of passion one feels when everything lines up just right",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECIUS,Nutrition Position (Type I),,,,,,,,,,,,,,,,,,,steel-plated zinger of metallic basslines and jacking four-to-the-floor kicks,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESTIN CONRAD,KISSING IN PUBLIC,,,,a simple yet frank treatise about Black queer love ... and the vitality of physical connection in our digital-driven society,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,hot and flirty ... [it] celebrates queer love,,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DITZ,Don Enzo Magic Carpet Salesman,,,,,,,,,,,,,,,,"Nine-plus minutes of linear, ferocious, conceptual noise rock",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Koze,Buschtaxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"strikes like a lightning bolt ... built around a flute phrase that drags along near-ultrasonic harmonies and squawking, rhythmic vocalese",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Travella,Mchakamchaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a lush interpretation of singeli ... as joyful as the celebratory ""Mchakamchaka.""",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daneshevskaya,Kermit & Gyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a lullaby dappled in the sun-treated symphonics of a breathless orchestra,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daniel Caesar, Yebba, & Blood Orange",Touching God (Feat. Yebba & Blood Orange),,,,,,,"blown away by its ethereal soundscape, giving every background vocal and harmony room to breathe",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Brown,Lift You Up,,,,,,,,,,,,,"a serotonin-spiked, late-'80s-coded hip-house track ... [with] his affectionate homage to a supposedly dead subgenre",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Brown & underscores,Copycats,,,,,,,,,,,,,,,,Danny Brown sounds absolutely fucking sick over hyperpop stylings,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Johns,I'm So Serious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,assembles Johns' virtuosity and melodic skills into an irresistible pop-rock singalong,,,,,,,,,,,,
Dave,The Boy Who Played the Harp,,,,,,,,,,,,,leans into those uncomfortable truths,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Byrne & Ghost Train Orchestra,The Avant Garde,,,,,,,,,,,,,,,,David Byrne sure can write a weirdly catchy ditty,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De La Soul,The Package,,,,,,,,,,,,,"features Posdnuos and Dave trading verses over a triumphant, horn-centric Pete Rock beat",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deafheaven,Amethyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,waltzes and churns before erupting into fiery chaos,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deafheaven,Body Behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,menacing and stirring in a way Deafheaven have never been,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,
Deafheaven,Winona,,,,,,,,,,,,,,,,"kicks into the blackgaze glory we've come to know and love from Deafheaven, as singer George Clarke's screams carry the listener through a magnificent roller coaster of colorful soundscapes",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Blunt & Elias Rønnenfelt,5,,,,,,,,,,,,,,,,captures the stunning magic of their creative partnership,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Blunt & Elias Rønnenfelt,tears on his rings and chains,,,,,,,,,,,,,,,,,,,"feels like slipping into sleep, its stripped-back, cinematic rhythm lulling the listener into a place of safety",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a disarmingly tender Bluntian guitar ballad, buoyed by the boyish singsong of Rønnenfelt—a gutting tearjerker by men with nothing left to hide",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Johnson,Death of the Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulls laughter from the southernmost part of my gut,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debbii Dawson,Chemical Reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a dreamy, glittery country-disco song made to soundtrack an old-school romantic Western",,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Sea Diver,Shovel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one of the most genuinely alternative-coded songs ... heard in some time,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deftones,ecdysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bristling, beautiful riff after riff unfurls ... painting a picture of apocalypse",,claude-haiku-4-5-20251001,,,
Deftones,infinite source,,,,"The joy and appreciation is palpable as Chino Moreno croons on the bridge, ""All of these times, all of our dreams, all of your cheers/ I'm releasing, we are afloat/ Keep a hold of me here as long as you can.""",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the band reminds us that they're still the kings of towering riffs in one moment and seductive restraint in the next,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,
Deftones,milk of the madonna,,,,,,,,,,,,,,,,rides a swinging central riff that never loses momentum ... the relentless groove provides a head-nodding metronome for Chino Moreno's refrain,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,Breathless and ruthless in equal measure ... ditch some of their typical haziness in search of a full-throttle piledriver of momentum,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destroyer,Cataract Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A masterclass in crafting half-devastating, half-beautiful indie impressionism ... ""Cataract Time"" is an astonishing, 8-minute opus",,claude-haiku-4-5-20251001,,,,,,,,,,,Failed: uncommonly direct ... as [Dan Bejar] confronts the indignities of aging,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,
Destroyer,Hydroplaning Off the Edge of the World,,,,,,,,,,,,,,,,makes fake-choral keyboards and cryptic non-sequiturs about decay sound like joyous poetry,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destroyer & Fiver,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,songs whose depth can be measured by the questions they leave us asking,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Spitz,Pop Punk Anthem (Sorry for the Delay),,,,,,,,,,,,,,,,A rousing tribute to the pop punk era that manages to rock entirely on its own merits,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dijon,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"searing intimacy, as brief and brilliant as a matchstick catching ablaze",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dijon,Baby!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sings so instinctively and breathtakingly about the love story between him and his wife,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dijon,HIGHER!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an absolutely exultant R&B track ... let a cat walk all over the punch-in triggers on the mix console,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dijon,Yamaha,,,,[A] hug in audio form ... giving off the vibe of someone skipping down the street fresh after making love to their soulmate,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,"he takes a fun turn on the track 'Yamaha,' which is full of '80s pop ballad vibes",,claude-haiku-4-5-20251001,the most euphoric expression of desire and devotion this year,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,a straightforward expression of desire and an ode to desire itself,,claude-haiku-4-5-20251001,"""Yamaha"" sounds out of time but of the moment",,claude-haiku-4-5-20251001,turn the ordinary indignity of heartbreak ... into something that sounds as big as it feels,,claude-haiku-4-5-20251001,,,,metaphysical concerns become melodic instructions,,claude-haiku-4-5-20251001,Simultaneously alien in its production and comfortingly familiar in its melodic construction,,claude-haiku-4-5-20251001,an absurdist euphoric collage ... tightly woven soundbits that create a sonic terrain both orgasmic and sentimental,,claude-haiku-4-5-20251001,,,,,,,"Dijon belts out over steady drums and sparkling '80s synths in ""Yamaha,"" it sounds like soaring",,claude-haiku-4-5-20251001,,,,,,
Dirt Buyer,Get to Choose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one of the catchiest songs I've ever heard in my life,,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disco Lines & Tinashe,No Broke Boys,,,,gave internet and IRL culture its catchphrase of the summer — and arguably its song of the summer too,,claude-haiku-4-5-20251001,,,,,,,"turns what could have been a harsh, mostly judgmental song ... into a tongue-in-cheek, lighthearted dance record",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DjRUM,Three Foxes Chasing Each Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tumbling keys and cadences from jungle, grime, and dubstep into breakcore odysseys that marry naive play and lightspeed virtuosity",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djo,Potion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dense and high-vibrational, reveling in miniature symphonies and golden-oldie pop expanse",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doechii,Anxiety,The repetition of the production emphasizes the neurosis of her lyricism; its irregularity supports her idiosyncratic flow,,claude-haiku-4-5-20251001,an illuminating and relatable portrayal of the struggle between anxiety and mental health,,claude-haiku-4-5-20251001,,,,,,,"[She] took a quirky one-hit wonder, Gotye's ""Somebody That I Used to Know,"" and flipped it into a new, universal earworm",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rides a mesmerizing flip of Gotye's ""Somebody That I Used to Know"" ... Doechii deploying a dexterous yet playful flow",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Doechii,DENIAL IS A RIVER,,,,"""Denial Is a River"" marked the arrival of a timeless artist with a singular voice and perspective",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bracing conversation about being cheated on, needing a ""cleanse"" from the madness of sudden success",,claude-haiku-4-5-20251001,,,,,,,,,
Doechii,Nosebleeds,,,,,,,,,,,,,,,,,,,,,,,,,Its bold flow and unshakable triumph helped capture a rapper and singer who's fully owning her moment,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doja Cat,AAAHH MEN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,synth-pop that could have come straight from the soundtrack of Modern Girls or Vision Quest,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Doja Cat,Gorgeous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,calls out impossible beauty standards without acting like she's completely above them
Doja Cat,Jealous Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'80s-pop cosplay so convincing that folks in 2025 forgot to make it a real hit,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,Doja Cat channels Madonna and Vanity 6 for this sultry banger ... there just isn't really anyone else doing stuff like this right now and absolutely owning it.,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,
Doja Cat,Stranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an absolutely seamless front-to-end bop,,claude-haiku-4-5-20251001,,,,,,
"Dom Dolla, Nathan Nicholson, & F1 The Album",No Room For A Saint (From F1® The Movie),,,,,,,,,,,,,,,,plays like you're already doing 100 mph before heading into the curve,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove Ellis,Love Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop music caught in the bardo,,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove Ellis,Pale Song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Pale Song is] a showcase for a gifted young singer brimming with gravitas,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,
Dove Ellis,To The Sandals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,vocals like Jeff Buckley and Thom Yorke's lovechild ... [that] WILL sweep you off your feet,,,,,,,,,,,,
Drake,NOKIA,,,,a vintage performance ... as he offers breezy one-liners ... and a slithery beat-switch that feeds the feet of dance-happy listeners,,claude-sonnet-4-5-20250929,,,,,claude-haiku-4-5-20251001,"lyrics designed to sooth and caress, in the sense of music that summons a warm-weather listening clime",a banger is a banger,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Nokia"" ... lends itself to the lightheartedness of a good function",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,Drake always seems to manage at least one undisputed bop
Dretti Franks,Style Watching,,,,,,,,,,,,,,,,"uses ""Style Watching"" to raise his concerns about the state of the game",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Cleaning,Cruise Ship Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Verlaine riff splashes and struts,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
